formulation,grid_fee_eur_per_kwh,status,periods,objective_eur,runtime_seconds,total_grid_fee_paid_eur,total_grid_exchange_kwh,total_charge_kwh,total_discharge_kwh,equivalent_full_cycles,self_consumption_rate,behavioural_cost_eur
no_battery,0.0,OPTIMAL,7895,-138.70578285999994,3.6278345584869385,0.0,3414.0209999999997,0.0,0.0,0.0,0.0,0.0
basic,0.0,OPTIMAL,7895,32.259181338199994,12.578679323196411,0.0,6522.698274238227,2729.0581717451523,2464.4,547.6444444444445,0.3619578265312071,0.0
tighter,0.0,OPTIMAL,7895,32.258591455097545,11.81590223312378,0.0,6524.322891966759,2728.842105263158,2464.205,547.6011111111111,0.36130821361169296,0.0
no_battery,0.01,OPTIMAL,7895,-172.8459928600003,3.3608319759368896,34.140209999999996,3414.0209999999997,0.0,0.0,0.0,0.0,3.694822225952521e-13
basic,0.01,OPTIMAL,7895,-22.732444212231567,11.554299116134644,46.52639696793629,4652.639696793629,2235.213781163435,2018.7054375,448.6012083333333,0.4980605366168573,8.465228582495271
tighter,0.01,OPTIMAL,7895,-22.73245535170522,11.502305269241333,46.52927381004155,4652.927381004155,2235.2137811634348,2018.7054375,448.6012083333333,0.49796873289851445,8.461772996761212
no_battery,0.02,OPTIMAL,7895,-206.98620285999957,3.4959864616394043,68.28041999999999,3414.0209999999997,0.0,0.0,0.0,0.0,-3.694822225952521e-13
basic,0.02,OPTIMAL,7895,-63.00221634976678,18.678065538406372,71.47704935457064,3573.852467728532,1873.528997229917,1692.28492,376.06331555555556,0.5418412361094612,23.78434833339614
tighter,0.02,OPTIMAL,7895,-63.002888946879274,20.196561813354492,71.4757752469529,3573.7887623476454,1872.8826343490305,1691.7015775,375.9336838888889,0.5415750960214881,23.78570515502392
no_battery,0.03,OPTIMAL,7895,-241.12641285999987,3.4587860107421875,102.42062999999999,3414.0209999999997,0.0,0.0,0.0,0.0,-5.684341886080802e-14
basic,0.03,OPTIMAL,7895,-96.43293547716948,22.71263885498047,95.63316372797784,3187.772124265928,1755.282941828255,1585.567855,352.34841222222224,0.5704001411634876,33.05895308739163
tighter,0.03,OPTIMAL,7895,-96.4326700371695,23.031474113464355,95.63247050297784,3187.749016765928,1755.5199418282548,1585.7817475,352.3959438888889,0.5705514006379471,33.05879098928921
no_battery,0.04,OPTIMAL,7895,-275.26662286000004,2.187448740005493,136.56083999999998,3414.0209999999997,0.0,0.0,0.0,0.0,1.1368683772161603e-13
basic,0.04,OPTIMAL,7895,-127.3051467347954,26.703694581985474,120.05716923711913,3001.429230927978,1690.2295844875348,1526.8572000000001,339.3016,0.5846342451959343,39.50715883587628
tighter,0.04,OPTIMAL,7895,-127.3051467347954,18.68576955795288,120.0481292371191,3001.2032309279775,1690.2295844875348,1526.8572000000001,339.3016,0.5846342451959342,39.515608952773846
no_battery,0.05,OPTIMAL,7895,-309.40683286000103,2.0527396202087402,170.70105,3414.0209999999997,0.0,0.0,0.0,0.0,1.0800249583553523e-12
basic,0.05,OPTIMAL,7895,-156.8204465635049,14.340644359588623,145.47393704397507,2909.4787408795014,1654.7357368421053,1494.8240025,332.18311166666666,0.5941493707933285,43.605690857729826
tighter,0.05,OPTIMAL,7895,-156.82053442285218,13.307263374328613,145.44254839923823,2908.850967984765,1654.7128947368421,1494.8033875,332.1785305555556,0.594134792376292,43.63657747871147
