formulation,degradation_cost_eur_per_kwh_discharge,status,periods,objective_eur,runtime_seconds,total_charge_kwh,total_discharge_kwh,equivalent_full_cycles
basic,0.0,OPTIMAL,7895,32.259181338199994,16.901310920715332,2729.0581717451523,2464.4,547.6444444444445
tighter,0.0,OPTIMAL,7895,32.258591455097545,15.401655673980713,2728.842105263158,2464.205,547.6011111111111
basic,0.005,OPTIMAL,7895,20.408633251079397,11.942152738571167,2544.3933518005542,2297.7400000000002,510.60888888888894
tighter,0.005,OPTIMAL,7895,20.40827064110713,14.935518264770508,2544.2659279778395,2297.625,510.5833333333333
basic,0.01,OPTIMAL,7895,9.300737032937372,15.527027368545532,2373.235457063712,2143.27,476.28222222222223
tighter,0.01,OPTIMAL,7895,9.300737032937372,15.542076587677002,2373.235457063712,2143.27,476.28222222222223
basic,0.02,OPTIMAL,7895,-10.56855968368364,16.264562606811523,2023.5346260387812,1827.6650000000002,406.14777777777783
tighter,0.02,OPTIMAL,7895,-10.568809684930114,15.121745586395264,2023.1024930747924,1827.275,406.06111111111113
basic,0.03,OPTIMAL,7895,-27.234040739085575,17.85128951072693,1652.9307479224376,1493.1950000000002,331.8211111111111
tighter,0.03,OPTIMAL,7895,-27.23501074393319,15.216743230819702,1652.027700831025,1492.38,331.64000000000004
